物件名,路線名,駅名,駅までの距離（徒歩/分）,間取り,階,家賃,住所
地下1地上5階建 築41年,丸ノ内線,中野新橋駅,4,2DK,1,11.4,中野区本町３
12階建 築26年,銀座線,溜池山王駅,5,2K,4,16,港区赤坂２
3階建 築41年,丸ノ内線,方南町駅,3,2DK,1,11.5,杉並区方南２
西蒲田スカイハイツ,ＪＲ京浜東北線,蒲田駅,4,2DK,10,11.5,大田区西蒲田８
5階建 築52年,ＪＲ京浜東北線,大井町駅,2,2LDK,5,15.8,品川区東大井５
山田ビル,ＪＲ山手線,駒込駅,5,2K,3,9,北区田端４
蓮都家（レントハウス）,銀座線,稲荷町駅,4,2K,1,12,台東区東上野６
サンフラット,東武東上線,下赤塚駅,2,2DK,2,8.1,板橋区赤塚２
マンショントライポート,東西線,神楽坂駅,12,2K,4,7.8,新宿区山吹町
7階建 築51年,ＪＲ中央線,荻窪駅,5,3DK,5,10.9,杉並区荻窪４
信濃町アジアマンション,丸ノ内線,四谷三丁目駅,4,2DK,3,13.5,新宿区須賀町
トーカンマンション代々木上原,小田急線,代々木上原駅,1,2DK,4,16.4,渋谷区上原１
高村ビル,ＪＲ山手線,駒込駅,2,2K,3,6.8,豊島区駒込１
上野マンション,有楽町線,平和台駅,5,2DK,2,8.9,練馬区北町７
Ｏ’ｓハウス,丸ノ内線,中野坂上駅,3,2K,1,7,中野区本町２
手塚宅,有楽町線,東池袋駅,4,2DK,1-2,8.5,豊島区東池袋５
5階建 築54年,ＪＲ総武線,荻窪駅,4,3K,5,8,杉並区荻窪４
ウエストヒル,ＪＲ中央線,中野駅,5,2K,1,10,中野区中野３
サニーコーポＫ,東西線,木場駅,3,2DK,4,10,江東区木場６
ピトレスク弥生,千代田線,根津駅,4,3DK,3,17,文京区弥生２
ピトレスク弥生,千代田線,根津駅,4,3DK,3,17,文京区根津２
第2三功マンション,副都心線,千川駅,3,3DK,3,15.8,豊島区要町３
町屋第2Mビル,千代田線,町屋駅,1,3K,8,12.7,荒川区荒川６
ポートサイドビル,ＪＲ京葉線,八丁堀駅,4,2K,3,7.3,中央区湊１
5階建 築27年,ＪＲ中央線,荻窪駅,2,2DK,3,13.6,杉並区荻窪５
3階建 築64年,千代田線,湯島駅,3,2K,3,7.5,文京区湯島３
3階建 築45年,ＪＲ山手線,新大久保駅,5,2DK,3,13.5,新宿区大久保１
ジェイパーク大崎,ＪＲ山手線,大崎駅,5,2DK,5,14,品川区大崎２
